,COUNTRY,INDICATOR,2016,2017,2018,2019,2020,2021,2022,2023
85,Ghana,Value of mobile money transactions (during the reference year),35.75174509964283,59.30214845753329,72.33193354954646,86.76405143675939,143.9390836961367,179.55579222554,174.5461048875522,228.1129848042983
86,South Africa,Value of mobile money transactions (during the reference year),1229.0,,,,24.0,887.072763,1712.44089197,7131.23940134
87,"Madagascar, Republic of",Value of mobile money transactions (during the reference year),4804222.0,7330802.28394,1236173.458713,21158544.0,24516015.0,33054905.7936041,45022415.6281672,
88,Uganda,Value of mobile money transactions (during the reference year),43.58930519044301,52.08183871412438,59.26121903759526,55.33498130840647,67.09804010412901,93.66901674439832,,
89,Pakistan,Value of mobile money transactions (during the reference year),2169541.0,2804008.0,3659074.17241285,4504780.09076812,6785763.87623521,8971352.49127806,12601738.6668542,18182312.2252573
90,Botswana,Value of mobile money transactions (during the reference year),4092.175341,5670.0,9866.469554,12716.045275,18773.28804021,29550.22764099,34777.019814023,40593.91883478
91,Malawi,Value of mobile money transactions (during the reference year),5.34933268250278,7.98205665584276,13.1683651329337,20.3529187200793,27.890468367605,,54.0299699388191,
92,Ghana,Value of mobile money transactions (during the reference year),78508.9,155844.84,223207.23,309352.25,564155.9,829000.0,1072300.0,1919874.0
93,"Palau, Republic of",Value of mobile money transactions (during the reference year),,,,,,,,
94,"Estonia, Republic of",Value of mobile money transactions (during the reference year),,,,,,,,
95,"Estonia, Republic of",Value of mobile money transactions (during the reference year),,,,,,,,
96,Denmark,Value of mobile money transactions (during the reference year),,,,,,,,
97,Denmark,Value of mobile money transactions (during the reference year),,,,,,,,
98,Iceland,Value of mobile money transactions (during the reference year),,,,,,,,
99,"Palau, Republic of",Value of mobile money transactions (during the reference year),,,,,,,,
100,Iceland,Value of mobile money transactions (during the reference year),,,,,,,,
101,France,Value of mobile money transactions (during the reference year),,,,,,,,
102,France,Value of mobile money transactions (during the reference year),,,,,,,,
103,Mauritius,Value of mobile money transactions (during the reference year),0.0046914793798311,0.0052171779867656,0.0062194153749547,0.0365938434861396,0.1751048178330667,0.6068752839077123,0.7556544520863314,1.01700752163359
104,Mauritius,Value of mobile money transactions (during the reference year),21.0,24.67,31.1,187.4,786.0,2905.76134062,4316.25289105,6628.02107984
105,"Kazakhstan, Republic of",Value of mobile money transactions (during the reference year),,,,,,,,
106,"Kazakhstan, Republic of",Value of mobile money transactions (during the reference year),,,,,,,,
107,"Equatorial Guinea, Republic of",Value of mobile money transactions (during the reference year),,,,,,,,
108,West Bank and Gaza,Value of mobile money transactions (during the reference year),,,,,,55.3,,
109,West Bank and Gaza,Value of mobile money transactions (during the reference year),,,,,,0.3053730189408581,,
110,"Equatorial Guinea, Republic of",Value of mobile money transactions (during the reference year),,,,,,,,
111,"Aruba, Kingdom of the Netherlands",Value of mobile money transactions (during the reference year),,,,,,,,
112,"Aruba, Kingdom of the Netherlands",Value of mobile money transactions (during the reference year),,,,,,,,
113,Bosnia and Herzegovina,Value of mobile money transactions (during the reference year),,,,,,,,
114,Seychelles,Value of mobile money transactions (during the reference year),16.0,22.0,10.0,26.0,47.0,42.0,45.0,
115,Seychelles,Value of mobile money transactions (during the reference year),0.0823384956139312,0.1053735550962588,0.045272928369313,0.112622528546259,0.2254259221354308,0.1929133625353945,0.1984914709957227,
116,Bosnia and Herzegovina,Value of mobile money transactions (during the reference year),,,,,,,,
117,Italy,Value of mobile money transactions (during the reference year),,,,,,,,
118,"Moldova, Republic of",Value of mobile money transactions (during the reference year),,,,,,,,
119,Belize,Value of mobile money transactions (during the reference year),,,,,,,,
120,"Moldova, Republic of",Value of mobile money transactions (during the reference year),,,,,,,,
121,Italy,Value of mobile money transactions (during the reference year),,,,,,,,
122,"Serbia, Republic of",Value of mobile money transactions (during the reference year),,,,,,,,
123,"Poland, Republic of",Value of mobile money transactions (during the reference year),,,,,,,,
124,Germany,Value of mobile money transactions (during the reference year),,,,,,,,
125,"Poland, Republic of",Value of mobile money transactions (during the reference year),,,,,,,,
126,Spain,Value of mobile money transactions (during the reference year),,,,,,,,
127,Finland,Value of mobile money transactions (during the reference year),,,,,,,,
128,Spain,Value of mobile money transactions (during the reference year),,,,,,,,
129,Russian Federation,Value of mobile money transactions (during the reference year),,,,,,,,
130,Russian Federation,Value of mobile money transactions (during the reference year),,,,,,,,
131,Finland,Value of mobile money transactions (during the reference year),,,,,,,,
132,Albania,Value of mobile money transactions (during the reference year),0.0289018497984214,0.1652290217794649,0.2797475287616446,0.4571487643555577,0.6551389920434155,0.8419685861854267,2.120688453127278,3.961951481117834
133,Slovak Republic,Value of mobile money transactions (during the reference year),,,,,,,,
134,Slovak Republic,Value of mobile money transactions (during the reference year),,,,,,,,
135,Ireland,Value of mobile money transactions (during the reference year),,,,,,,,
136,"Iran, Islamic Republic of",Value of mobile money transactions (during the reference year),,,,,,,,
137,Albania,Value of mobile money transactions (during the reference year),425.573668893298,2562.11636762,4578.71061998,7734.51562342,10792.96331578,15628.3859968,45347.5082617173,91623.6299024109
138,Ireland,Value of mobile money transactions (during the reference year),,,,,,,,
139,"Iran, Islamic Republic of",Value of mobile money transactions (during the reference year),,,,,,,,
140,Belize,Value of mobile money transactions (during the reference year),,,,,,,,
141,Ukraine,Value of mobile money transactions (during the reference year),,,,,,,,
142,Ukraine,Value of mobile money transactions (during the reference year),,,,,,,,
143,Luxembourg,Value of mobile money transactions (during the reference year),,,,,,,,
144,Peru,Value of mobile money transactions (during the reference year),,,,,,,,
145,New Zealand,Value of mobile money transactions (during the reference year),,,,,,,,
146,Luxembourg,Value of mobile money transactions (during the reference year),,,,,,,,
147,"Uzbekistan, Republic of",Value of mobile money transactions (during the reference year),,,,,,,,
148,"Uzbekistan, Republic of",Value of mobile money transactions (during the reference year),,,,,,,,
149,New Zealand,Value of mobile money transactions (during the reference year),,,,,,,,
150,Lebanon,Value of mobile money transactions (during the reference year),,,,,,,,
151,"Gambia, The",Value of mobile money transactions (during the reference year),,,,49.0,53.0,67.0,91.0,1829.0
152,St. Kitts and Nevis,Value of mobile money transactions (during the reference year),,,,,,,,
153,Lebanon,Value of mobile money transactions (during the reference year),,,,,,,,
154,Dominican Republic,Value of mobile money transactions (during the reference year),,,,,,,,
155,Dominican Republic,Value of mobile money transactions (during the reference year),,,,,,,,
156,St. Kitts and Nevis,Value of mobile money transactions (during the reference year),,,,,,,,
157,"Kosovo, Republic of",Value of mobile money transactions (during the reference year),,,,,,,,
158,"China, People's Republic of",Value of mobile money transactions (during the reference year),,,,,,,,
159,"China, People's Republic of",Value of mobile money transactions (during the reference year),,,,,,,,
160,United Kingdom,Value of mobile money transactions (during the reference year),,,,,,,,
161,United Kingdom,Value of mobile money transactions (during the reference year),,,,,,,,
162,"Kosovo, Republic of",Value of mobile money transactions (during the reference year),,,,,,,,
163,Brunei Darussalam,Value of mobile money transactions (during the reference year),,,,,,,,
164,Brunei Darussalam,Value of mobile money transactions (during the reference year),,,,,,,,
165,"Slovenia, Republic of",Value of mobile money transactions (during the reference year),,,,,,,,
166,Uruguay,Value of mobile money transactions (during the reference year),,,11811.0,14537.0,20296.0,29408.0,42796.0,51633.0
167,Uruguay,Value of mobile money transactions (during the reference year),,,0.5882781213727912,0.6626783432401598,0.9001257366771148,1.111276030083666,1.481593487993559,1.721906808667222
168,Montenegro,Value of mobile money transactions (during the reference year),,,,,,,,
169,Montenegro,Value of mobile money transactions (during the reference year),,,,,,,,
170,"Slovenia, Republic of",Value of mobile money transactions (during the reference year),,,,,,,,
171,Kuwait,Value of mobile money transactions (during the reference year),,,,,,,,
172,Thailand,Value of mobile money transactions (during the reference year),43280.28,68063.36,114091.67,170587.92,260622.62,413014.712947,527863.301662,608616.561053351
173,Kuwait,Value of mobile money transactions (during the reference year),,,,,,,,
174,"Macao Special Administrative Region, People's Republic of China",Value of mobile money transactions (during the reference year),,,,,,,,
175,Singapore,Value of mobile money transactions (during the reference year),,,,,,,,
176,St. Lucia,Value of mobile money transactions (during the reference year),,,,,,,,
177,"Montserrat, United Kingdom-British Overseas Territory",Value of mobile money transactions (during the reference year),,,,,,,,
178,Kyrgyz Republic,Value of mobile money transactions (during the reference year),,,,,,,,
179,"Macao Special Administrative Region, People's Republic of China",Value of mobile money transactions (during the reference year),,,,,,,,
180,Singapore,Value of mobile money transactions (during the reference year),,,,,,,,
181,"Montserrat, United Kingdom-British Overseas Territory",Value of mobile money transactions (during the reference year),,,,,,,,
182,Kyrgyz Republic,Value of mobile money transactions (during the reference year),,,,,,,,
183,"Anguilla, United Kingdom-British Overseas Territory",Value of mobile money transactions (during the reference year),,,,,,,,
184,Antigua and Barbuda,Value of mobile money transactions (during the reference year),,,,,,,,
185,St. Lucia,Value of mobile money transactions (during the reference year),,,,,,,,
186,"Anguilla, United Kingdom-British Overseas Territory",Value of mobile money transactions (during the reference year),,,,,,,,
187,Antigua and Barbuda,Value of mobile money transactions (during the reference year),,,,,,,,
188,Grenada,Value of mobile money transactions (during the reference year),,,,,,,,
189,Grenada,Value of mobile money transactions (during the reference year),,,,,,,,
190,St. Vincent and the Grenadines,Value of mobile money transactions (during the reference year),,,,,,,,
191,St. Vincent and the Grenadines,Value of mobile money transactions (during the reference year),,,,,,,,
192,Maldives,Value of mobile money transactions (during the reference year),,,37.40201909,117.44329163,181.81255239,193.96725757,399.04269771,419.32016118
193,"Croatia, Republic of",Value of mobile money transactions (during the reference year),,,,,,,,
194,Peru,Value of mobile money transactions (during the reference year),,,,,,,,
195,Maldives,Value of mobile money transactions (during the reference year),,,0.0449665751013477,0.1333385377843401,0.3183852732741275,0.2401363932220758,0.4202869222777488,0.412908353452613
196,"Lithuania, Republic of",Value of mobile money transactions (during the reference year),,,,,,,,
197,"Türkiye, Republic of",Value of mobile money transactions (during the reference year),989.0,4064.0,6106.0,6012.0,5807.0,7370.0,11881.0,9402.0
198,"Croatia, Republic of",Value of mobile money transactions (during the reference year),,,,,,,,
199,"Lithuania, Republic of",Value of mobile money transactions (during the reference year),,,,,,,,
200,"Türkiye, Republic of",Value of mobile money transactions (during the reference year),0.0376538175159404,0.1296867749225059,0.1623432733359814,0.1392372522181384,0.1150227153521553,0.101569125852278,0.0791445329320128,0.0357812833689741
201,Nicaragua,Value of mobile money transactions (during the reference year),,,0.2587452791852001,0.3958057856554608,0.5947469442752009,1.166532825417263,0.9354650251499737,0.8965428078027698
202,Nicaragua,Value of mobile money transactions (during the reference year),,,1063.41204801767,1664.81454727686,2590.18836448237,5803.04585864897,5252.0,5825.0
203,Romania,Value of mobile money transactions (during the reference year),20.46906481,2.59396982,,,,,,
204,Switzerland,Value of mobile money transactions (during the reference year),,,,,,,,
205,Jamaica,Value of mobile money transactions (during the reference year),,889.891,1566.153714,11687.2662,21293.0,26859.0,4396.0,2617.0
206,Switzerland,Value of mobile money transactions (during the reference year),,,,,,,,
207,Argentina,Value of mobile money transactions (during the reference year),,,,,,,,
208,Jamaica,Value of mobile money transactions (during the reference year),,0.0469593277133547,0.0772550470563339,0.5537852279603285,1.082551064400934,1.215218944367051,0.1675780661811376,0.0873999467651833
209,Argentina,Value of mobile money transactions (during the reference year),,,,,,,,
210,Burundi,Value of mobile money transactions (during the reference year),,,,,,,,
211,Chile,Value of mobile money transactions (during the reference year),,,,,,,,
212,Chile,Value of mobile money transactions (during the reference year),,,,,,,,
213,Malta,Value of mobile money transactions (during the reference year),,,,,,,,
214,Cyprus,Value of mobile money transactions (during the reference year),,,,,,,,
215,Hungary,Value of mobile money transactions (during the reference year),0.0545405154702727,0.0557643661499929,0.0561512292612184,0.0571678168858967,0.0465614275386703,0.0389826201521649,0.0426650589265673,0.0456175826889372
216,Hungary,Value of mobile money transactions (during the reference year),19747.302271,21901.319298,24362.171001,27254.291926,22556.438658,21520.346489,28138.351294,34209.558138
217,Malta,Value of mobile money transactions (during the reference year),,,,,,,,
218,Bhutan,Value of mobile money transactions (during the reference year),,,,,,,,
219,Czech Republic,Value of mobile money transactions (during the reference year),,,,,,,,
220,Costa Rica,Value of mobile money transactions (during the reference year),,,,,,,,
221,Costa Rica,Value of mobile money transactions (during the reference year),,,,,,,,
222,Bhutan,Value of mobile money transactions (during the reference year),,,,,,,,
223,Czech Republic,Value of mobile money transactions (during the reference year),,,,,,,,
224,Cyprus,Value of mobile money transactions (during the reference year),,,,,,,,
225,"Egypt, Arab Republic of",Value of mobile money transactions (during the reference year),2283.0,8600.0,12000.0,23400.0,88231.0,267528.104784431,612475.40920653,1277606.92257825
226,Israel,Value of mobile money transactions (during the reference year),,,,,,,,
227,United States,Value of mobile money transactions (during the reference year),,,,,,,,
228,"Egypt, Arab Republic of",Value of mobile money transactions (during the reference year),0.0842621982726803,0.2352361935501518,0.2571685740002572,0.4181558255897069,1.434044143939148,4.015069634020666,7.809696005183679,12.58056721131861
229,Israel,Value of mobile money transactions (during the reference year),,,,,,,,
230,Nepal,Value of mobile money transactions (during the reference year),,,,56861.77563897,147467.836443478,114432.0,184293.0,219807.0
231,Trinidad and Tobago,Value of mobile money transactions (during the reference year),,,,,,,,
232,"Timor-Leste, Democratic Republic of",Value of mobile money transactions (during the reference year),,,,,,,,
233,"Azerbaijan, Republic of",Value of mobile money transactions (during the reference year),,,,,,,,
234,"Timor-Leste, Democratic Republic of",Value of mobile money transactions (during the reference year),,,,,,,,
235,Trinidad and Tobago,Value of mobile money transactions (during the reference year),,,,,,,,
236,Dominica,Value of mobile money transactions (during the reference year),,,,,,,,
237,Angola,Value of mobile money transactions (during the reference year),0.000235663481185155,0.0171546167069121,0.1004217770763417,0.2931709274537462,0.0338405197929097,,,
238,"Netherlands, The",Value of mobile money transactions (during the reference year),,,,,,,,
239,Angola,Value of mobile money transactions (during the reference year),39.001281,3475.91921482,25735.83394094,88920.0,10727.70568476,,,
240,"Netherlands, The",Value of mobile money transactions (during the reference year),,,,,,,,
241,Dominica,Value of mobile money transactions (during the reference year),,,,,,,,
242,Brazil,Value of mobile money transactions (during the reference year),,,,,,,,
243,Suriname,Value of mobile money transactions (during the reference year),,,,,,,,
244,Suriname,Value of mobile money transactions (during the reference year),,,,,,,,
245,Iraq,Value of mobile money transactions (during the reference year),3083000.0,30515000.0,86153000.0,399194528.0,103885310.0,,,
246,"Bahamas, The",Value of mobile money transactions (during the reference year),,,,,,0.5259963584867489,0.4689260375749825,0.4212435052481082
247,Djibouti,Value of mobile money transactions (during the reference year),,,,,,,,
248,Lao People's Democratic Republic,Value of mobile money transactions (during the reference year),,,,,,,,
249,"Bahamas, The",Value of mobile money transactions (during the reference year),,,,,,59.8,61.6,60.4
250,Tunisia,Value of mobile money transactions (during the reference year),,,,,,,3.0,48.4
251,Iraq,Value of mobile money transactions (during the reference year),1.565577472312528,13.7662248567138,32.03679932112166,144.553016529738,48.17053660992285,,,
252,Sudan,Value of mobile money transactions (during the reference year),110.0,673.0,2135.593993,,,,,
253,Cambodia,Value of mobile money transactions (during the reference year),95928340.0227929,67738231.0,90104550.0,144476129.0,174506277.0,196234240.0,257161168.0,303366557.455648
254,Cambodia,Value of mobile money transactions (during the reference year),118.0774700575664,75.40669623673932,90.51705905565689,131.3251637507417,164.796853381095,177.5780403847903,212.4773386462428,232.2747334927716
255,Sudan,Value of mobile money transactions (during the reference year),0.01816954813349,0.0824901007567829,0.162036723967967,,,,,
256,Bolivia,Value of mobile money transactions (during the reference year),639.0,943.0,1257.4900450104,1503.0,2269.0,3313.0,4518.5830543127,12349.1600051461
257,Honduras,Value of mobile money transactions (during the reference year),,,,,,12870.9451011321,13209.5087150927,11243.4271107
258,Barbados,Value of mobile money transactions (during the reference year),,,,,,,,
259,Panama,Value of mobile money transactions (during the reference year),,,,,,,,
260,Paraguay,Value of mobile money transactions (during the reference year),,8727096.0428742,9279642.8577489,10169984.0,16316191.993854,14743675.0,13854010.497773,13234853.0
261,Paraguay,Value of mobile money transactions (during the reference year),,3.982751618995443,4.024540126362267,4.296907078203827,6.800829643050932,5.447830152544903,4.729190084639738,4.227000477702769
262,El Salvador,Value of mobile money transactions (during the reference year),,,,,46.2682209269188,527.521953174146,777.6,525.59118943
263,"Mauritania, Islamic Republic of",Value of mobile money transactions (during the reference year),732.173444,,,,897.72852927,30283.16887164,,
264,"South Sudan, Republic of",Value of mobile money transactions (during the reference year),,,,,,,,
265,Cabo Verde,Value of mobile money transactions (during the reference year),,,,,,,,
266,Sweden,Value of mobile money transactions (during the reference year),,,,,,,,
267,India,Value of mobile money transactions (during the reference year),0.1337356954603751,0.3115362944979666,0.5750088432431318,0.9117527707982483,0.9136799227783436,0.6444135311222923,0.8170175217100247,0.7550124934302901
