Unnamed: 0,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
107,Andaman & Nicobar Islands,2013,67.1,37.6,43.0,46.3,509.3,777.0,564.8,336.7,473.6,455.8,354.2,92.3,3757.8,104.7,598.6,2152.1,902.4
108,Andaman & Nicobar Islands,2014,41.9,8.6,0.0,11.1,238.0,416.6,467.6,321.6,412.9,402.6,201.2,100.4,2622.4,50.5,249.1,1618.7,704.2
109,Andaman & Nicobar Islands,2015,126.8,7.6,3.1,138.2,331.9,346.4,328.9,480.0,523.3,252.1,236.3,129.9,2904.6,134.4,473.2,1678.6,618.4
110,Andaman & Nicobar Islands,2016,72.0,15.8,5.4,2.4,191.1,429.4,301.2,227.7,604.3,287.2,181.7,533.7,2851.9,87.8,198.9,1562.6,1002.6
111,Andaman & Nicobar Islands,2017,228.7,5.6,33.0,108.3,275.8,349.1,389.4,414.7,372.8,263.0,205.9,243.7,2890.0,234.2,417.1,1526.0,712.6
193,Arunachal Pradesh,2000,54.1,47.1,139.9,293.8,267.2,459.8,395.4,387.4,407.4,81.3,53.9,9.6,2596.8,101.2,700.8,1650.0,144.8
194,Arunachal Pradesh,2001,53.1,66.6,134.9,229.9,195.6,277.2,302.6,279.9,288.1,173.8,19.3,14.9,2036.0,119.7,560.5,1147.8,208.0
195,Arunachal Pradesh,2002,74.2,37.2,126.3,248.2,197.1,396.8,604.0,290.7,257.9,94.0,45.0,17.9,2389.2,111.4,571.6,1549.4,156.9
196,Arunachal Pradesh,2003,22.9,83.2,109.6,182.0,173.5,424.3,645.3,327.2,259.9,182.6,25.0,16.2,2451.8,106.1,465.2,1656.6,223.9
197,Arunachal Pradesh,2004,38.0,39.1,175.5,210.2,298.7,402.9,654.3,243.0,278.5,184.8,5.6,15.2,2545.7,77.1,684.3,1578.7,205.6
198,Arunachal Pradesh,2005,48.4,167.6,229.5,195.3,179.8,269.3,430.8,400.0,243.6,139.3,28.6,3.3,2335.5,216.0,604.6,1343.7,171.2
199,Arunachal Pradesh,2006,6.0,103.7,63.3,202.7,321.7,520.4,382.2,227.6,263.2,77.2,69.7,21.7,2259.6,109.7,587.7,1393.5,168.7
200,Arunachal Pradesh,2007,13.4,97.4,48.1,292.4,250.4,530.2,761.0,364.6,529.3,102.6,24.3,6.9,3020.7,110.8,590.9,2185.1,133.9
201,Arunachal Pradesh,2008,76.7,39.7,122.6,192.4,185.0,423.6,456.1,439.3,189.7,115.1,1.7,2.6,2244.4,116.4,499.9,1508.7,119.4
202,Arunachal Pradesh,2009,18.0,92.8,72.1,132.7,189.9,259.1,329.9,370.3,152.5,82.9,33.9,15.9,1749.9,110.8,394.7,1111.8,132.7
203,Arunachal Pradesh,2010,0.6,13.2,237.8,466.9,312.7,509.9,378.0,321.5,444.2,97.7,58.9,14.2,2855.7,13.9,1017.5,1653.6,170.9
204,Arunachal Pradesh,2011,40.0,51.3,174.5,240.8,219.6,288.4,531.4,277.6,286.7,51.9,16.2,15.2,2193.7,91.4,634.9,1384.2,83.3
205,Arunachal Pradesh,2012,57.8,35.8,134.2,403.4,187.4,645.8,638.9,316.0,724.9,248.1,22.0,26.2,3440.3,93.6,724.9,2325.6,296.3
206,Arunachal Pradesh,2013,18.5,40.5,115.1,175.1,335.8,290.0,329.6,230.2,316.1,164.1,13.3,14.6,2042.9,59.0,626.0,1165.9,192.0
207,Arunachal Pradesh,2014,19.0,101.9,80.3,86.7,299.0,415.8,392.4,599.6,343.0,35.1,20.1,10.2,2403.2,120.9,466.0,1750.8,65.4
208,Arunachal Pradesh,2015,30.8,47.5,97.5,287.1,238.9,637.9,329.3,595.5,374.2,65.2,33.8,29.8,2767.5,78.3,623.5,1936.9,128.8
209,Arunachal Pradesh,2016,29.4,73.2,128.4,333.1,278.9,379.4,620.1,145.7,532.9,172.7,8.4,4.6,2706.9,102.6,740.4,1678.2,185.7
210,Arunachal Pradesh,2017,8.2,86.2,221.8,348.2,257.1,370.8,437.8,456.4,318.6,227.1,9.9,3.4,2745.3,94.4,827.0,1583.5,240.3
310,Assam & Meghalaya,2000,20.5,13.7,65.9,238.5,375.1,540.2,313.3,513.2,299.9,83.9,22.2,0.4,2487.0,34.2,679.5,1666.6,106.6
311,Assam & Meghalaya,2001,5.5,39.7,30.9,198.6,266.4,399.8,451.1,295.6,266.8,201.4,20.5,2.3,2178.4,45.2,495.8,1413.2,224.2
312,Assam & Meghalaya,2002,20.2,5.7,83.3,279.9,286.9,502.5,565.1,312.5,209.7,49.5,69.4,7.9,2392.7,25.9,650.2,1589.8,126.8
313,Assam & Meghalaya,2003,9.5,41.5,96.9,213.8,235.8,551.4,481.2,290.7,250.0,231.8,13.0,18.6,2434.1,51.0,546.5,1573.3,263.4
314,Assam & Meghalaya,2004,15.3,19.5,72.8,340.8,342.2,397.9,848.4,286.2,317.2,340.8,6.5,6.6,2994.3,34.8,755.9,1849.7,353.9
315,Assam & Meghalaya,2005,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.3,53.3,660.9,1525.2,228.9
316,Assam & Meghalaya,2006,0.7,40.9,20.8,169.0,325.7,395.9,350.3,209.7,252.3,97.6,25.1,10.7,1898.6,41.5,515.5,1208.1,133.5
317,Assam & Meghalaya,2007,1.5,73.7,23.5,242.7,219.8,489.7,682.7,308.0,494.7,164.7,47.7,4.0,2752.8,75.2,486.1,1975.1,216.4
318,Assam & Meghalaya,2008,29.7,14.5,107.5,156.2,210.6,414.6,493.2,508.6,267.5,133.4,2.2,1.6,2339.7,44.2,474.4,1683.9,137.2
319,Assam & Meghalaya,2009,7.9,11.6,44.9,134.9,246.5,321.1,426.3,533.8,192.3,135.9,9.0,4.0,2068.2,19.5,426.2,1473.5,149.0
320,Assam & Meghalaya,2010,0.5,3.1,99.6,389.3,393.4,569.7,415.1,387.0,318.3,116.2,11.6,7.6,2711.5,3.7,882.3,1690.2,135.3
321,Assam & Meghalaya,2011,11.1,11.4,109.0,92.1,238.3,316.0,395.8,302.6,221.6,30.2,11.9,3.5,1743.4,22.5,439.4,1236.0,45.6
322,Assam & Meghalaya,2012,15.2,6.9,28.8,279.1,185.8,729.7,444.3,289.2,411.6,199.4,17.1,2.3,2609.4,22.1,493.7,1874.8,218.8
323,Assam & Meghalaya,2013,1.1,9.6,44.0,112.8,346.7,286.2,367.8,289.7,229.3,126.3,1.0,2.0,1816.4,10.7,503.5,1172.9,129.3
324,Assam & Meghalaya,2014,2.0,28.3,29.3,51.5,351.1,426.4,374.4,484.6,420.2,35.0,3.0,0.4,2206.1,30.3,431.9,1705.5,38.5
325,Assam & Meghalaya,2015,13.4,15.5,37.5,250.9,332.5,558.5,300.1,590.9,279.9,62.6,14.0,15.2,2470.9,28.9,620.9,1729.3,91.8
326,Assam & Meghalaya,2016,18.9,15.9,64.1,327.8,334.0,369.0,498.4,185.3,271.2,136.5,38.2,7.4,2266.9,34.8,726.0,1323.9,182.1
327,Assam & Meghalaya,2017,1.7,37.8,116.7,310.9,268.4,485.2,429.0,483.1,345.4,212.1,10.3,11.0,2711.7,39.5,695.9,1742.7,233.5
427,Naga Mani Mizo Tripura,2000,22.5,26.1,129.1,214.2,403.6,325.4,269.2,465.0,298.3,185.2,24.2,1.1,2363.9,48.6,746.9,1357.9,210.4
428,Naga Mani Mizo Tripura,2001,1.5,46.9,38.8,83.6,313.8,478.0,322.6,263.0,269.0,266.4,65.4,0.2,2149.0,48.4,436.1,1332.6,332.0
429,Naga Mani Mizo Tripura,2002,18.6,3.9,62.7,143.8,438.7,351.6,462.2,358.4,225.7,98.9,71.9,6.0,2242.3,22.5,645.1,1397.8,176.9
430,Naga Mani Mizo Tripura,2003,3.8,11.5,78.0,158.9,265.6,590.9,262.4,281.7,288.4,175.1,5.1,40.9,2162.2,15.3,502.4,1423.4,221.1
431,Naga Mani Mizo Tripura,2004,4.8,2.7,11.0,341.5,211.0,449.2,558.6,284.3,351.0,132.7,6.4,0.5,2353.7,7.4,563.5,1643.2,139.6
432,Naga Mani Mizo Tripura,2005,6.4,15.0,118.6,98.1,237.0,212.3,301.5,334.8,292.6,194.3,15.6,10.5,1836.7,21.4,453.7,1141.1,220.4
433,Naga Mani Mizo Tripura,2006,0.6,12.4,5.5,111.1,382.2,445.6,335.0,241.6,231.1,90.4,13.0,3.7,1872.0,12.9,498.8,1253.2,107.1
434,Naga Mani Mizo Tripura,2007,7.9,54.7,28.7,220.4,276.7,446.3,430.0,373.8,426.6,180.5,82.6,10.1,2538.2,62.6,525.8,1676.6,273.2
435,Naga Mani Mizo Tripura,2008,30.7,13.8,49.6,54.9,200.8,327.4,333.3,358.6,223.7,150.2,4.7,1.2,1748.9,44.4,305.3,1243.0,156.1
436,Naga Mani Mizo Tripura,2009,0.0,3.2,27.5,93.1,209.5,271.9,295.8,380.9,271.3,158.2,26.1,0.2,1737.7,3.2,330.1,1219.9,184.5
437,Naga Mani Mizo Tripura,2010,1.0,7.9,85.8,161.5,294.0,411.6,367.5,393.2,309.8,220.2,9.2,33.5,2295.2,8.9,541.4,1482.0,262.9
438,Naga Mani Mizo Tripura,2011,12.6,3.6,51.4,81.1,334.9,374.2,313.3,367.6,258.3,92.6,2.4,0.2,1892.1,16.1,467.4,1313.4,95.2
439,Naga Mani Mizo Tripura,2012,24.5,10.2,20.3,243.5,163.5,396.2,280.1,342.7,248.7,160.9,32.0,0.4,1922.9,34.7,427.3,1267.6,193.3
440,Naga Mani Mizo Tripura,2013,0.2,5.7,19.7,60.3,348.9,206.6,255.9,291.3,241.4,125.6,0.3,1.2,1557.2,5.9,428.9,995.2,127.1
441,Naga Mani Mizo Tripura,2014,1.2,21.0,25.4,49.6,192.5,268.3,295.7,372.3,300.9,69.6,3.3,0.1,1599.9,22.2,267.5,1237.2,73.0
442,Naga Mani Mizo Tripura,2015,14.4,14.2,21.6,253.5,198.3,283.9,413.6,334.2,255.9,118.7,3.9,10.0,1922.4,28.7,473.4,1287.7,132.6
443,Naga Mani Mizo Tripura,2016,8.5,33.5,57.6,135.4,285.7,287.8,326.2,319.0,296.0,114.7,90.3,1.7,1956.4,42.0,478.7,1229.0,206.7
444,Naga Mani Mizo Tripura,2017,0.8,11.9,125.3,277.6,196.7,502.7,431.5,543.3,352.2,287.6,7.6,68.1,2805.4,12.7,599.7,1829.8,363.3
544,Sub Himalayan West Bengal & Sikkim,2000,10.7,36.2,55.1,185.1,326.5,649.6,574.3,498.1,465.8,82.9,22.6,1.2,2908.0,46.9,566.6,2187.8,106.7
545,Sub Himalayan West Bengal & Sikkim,2001,4.0,20.5,50.2,134.8,347.2,472.2,399.0,424.5,434.9,282.8,36.6,5.9,2612.6,24.5,532.2,1730.5,325.4
546,Sub Himalayan West Bengal & Sikkim,2002,30.1,10.0,95.6,237.1,181.7,407.2,743.3,406.6,340.1,75.7,8.7,10.8,2547.0,40.1,514.4,1897.2,95.2
547,Sub Himalayan West Bengal & Sikkim,2003,17.0,79.2,90.1,171.4,211.7,516.6,703.0,354.0,321.4,223.0,16.4,19.2,2723.3,96.3,473.3,1895.1,258.7
548,Sub Himalayan West Bengal & Sikkim,2004,19.9,11.5,40.5,163.5,287.5,489.5,739.5,356.4,394.7,198.4,9.0,4.4,2714.7,31.4,491.5,1980.1,211.8
549,Sub Himalayan West Bengal & Sikkim,2005,19.5,21.0,132.1,155.5,254.0,446.5,704.3,564.5,229.9,271.1,8.8,0.5,2807.7,40.6,541.6,1945.1,280.4
550,Sub Himalayan West Bengal & Sikkim,2006,0.7,17.0,39.8,119.3,270.5,446.2,470.2,295.0,456.8,118.4,20.3,7.9,2262.1,17.7,429.6,1668.2,146.6
551,Sub Himalayan West Bengal & Sikkim,2007,3.1,81.1,46.6,160.1,215.1,485.1,686.3,412.4,458.6,79.5,8.8,2.0,2638.9,84.2,421.7,2042.5,90.3
552,Sub Himalayan West Bengal & Sikkim,2008,33.2,22.1,79.8,141.8,171.4,526.5,657.7,636.3,296.7,97.9,16.9,9.5,2689.9,55.3,393.0,2117.3,124.3
553,Sub Himalayan West Bengal & Sikkim,2009,6.0,40.3,55.0,115.2,308.7,350.6,456.1,568.4,174.6,235.1,9.1,5.6,2324.6,46.3,478.9,1549.6,249.8
554,Sub Himalayan West Bengal & Sikkim,2010,5.6,19.6,77.6,176.6,335.9,558.1,593.4,461.3,308.1,66.2,7.9,2.2,2612.3,25.2,590.0,1920.8,76.3
555,Sub Himalayan West Bengal & Sikkim,2011,8.5,19.9,71.2,135.0,247.8,419.8,612.3,470.3,356.3,46.7,26.7,4.3,2418.7,28.4,453.9,1858.6,77.7
556,Sub Himalayan West Bengal & Sikkim,2012,15.3,13.9,45.5,159.8,202.4,604.2,684.5,332.7,434.7,119.4,12.5,7.4,2632.2,29.2,407.7,2056.0,139.3
557,Sub Himalayan West Bengal & Sikkim,2013,3.0,23.6,32.1,114.7,296.5,404.9,588.4,416.3,308.0,199.8,16.1,2.7,2406.1,26.7,443.4,1717.6,218.5
558,Sub Himalayan West Bengal & Sikkim,2014,0.2,26.6,37.7,47.9,308.6,543.2,384.6,563.3,371.5,31.2,5.3,2.4,2322.6,26.9,394.2,1862.6,38.9
559,Sub Himalayan West Bengal & Sikkim,2015,15.7,15.0,64.8,149.0,304.6,508.2,393.3,626.6,354.9,53.6,23.8,9.0,2518.6,30.7,518.5,1883.0,86.4
560,Sub Himalayan West Bengal & Sikkim,2016,20.7,7.1,98.9,101.4,233.7,570.8,732.1,209.9,494.3,155.6,0.0,0.3,2624.8,27.9,434.0,2007.1,155.8
561,Sub Himalayan West Bengal & Sikkim,2017,3.0,5.1,84.6,146.8,226.8,400.6,478.6,777.9,390.1,166.5,3.8,1.0,2684.9,8.1,458.2,2047.3,171.3
661,Gangetic West Bengal,2000,9.5,57.9,3.8,54.0,215.0,205.6,341.5,178.4,428.4,76.2,1.6,0.1,1572.1,67.4,272.8,1153.9,77.9
662,Gangetic West Bengal,2001,0.3,1.9,32.8,49.4,175.8,384.2,269.3,248.7,205.9,163.6,8.8,0.0,1540.6,2.2,258.0,1108.0,172.4
663,Gangetic West Bengal,2002,26.3,1.5,26.6,77.4,114.1,347.7,281.6,289.3,326.4,71.5,50.9,0.1,1613.3,27.8,218.1,1244.9,122.5
664,Gangetic West Bengal,2003,0.5,11.7,70.0,36.3,81.9,280.5,253.4,239.3,155.0,341.5,8.9,17.7,1496.7,12.2,188.2,928.2,368.1
665,Gangetic West Bengal,2004,3.3,1.6,14.9,62.8,72.9,287.5,250.7,389.9,264.3,220.7,0.0,0.8,1569.4,4.9,150.7,1192.3,221.5
666,Gangetic West Bengal,2005,26.8,11.8,82.8,41.8,82.4,200.1,354.5,226.7,221.3,351.7,0.0,4.9,1604.9,38.6,207.0,1002.6,356.6
667,Gangetic West Bengal,2006,0.8,3.0,10.6,60.5,120.8,221.0,486.6,320.3,380.9,49.7,5.9,0.3,1660.5,3.9,191.9,1408.8,55.9
668,Gangetic West Bengal,2007,3.9,56.2,39.3,38.7,98.7,226.3,610.1,328.0,459.9,55.8,24.6,0.0,1941.4,60.1,176.7,1624.2,80.4
669,Gangetic West Bengal,2008,49.4,12.4,11.5,42.8,94.4,414.5,338.4,252.2,267.3,72.3,0.0,0.2,1555.2,61.8,148.8,1272.3,72.4
670,Gangetic West Bengal,2009,2.4,1.4,17.9,2.6,229.0,69.7,277.6,332.7,294.6,77.3,9.4,0.3,1315.0,3.8,249.5,974.6,87.1
671,Gangetic West Bengal,2010,0.2,10.3,8.0,15.9,127.5,189.3,196.3,192.6,192.6,96.2,6.3,29.7,1064.8,10.5,151.3,770.7,132.2
672,Gangetic West Bengal,2011,2.5,2.7,40.5,75.0,132.6,434.5,219.9,443.2,295.9,36.9,1.3,1.4,1686.5,5.2,248.1,1393.6,39.6
673,Gangetic West Bengal,2012,40.7,15.3,4.4,57.7,44.2,146.6,315.0,261.4,246.9,64.2,47.0,24.6,1268.0,56.0,106.3,969.9,135.8
674,Gangetic West Bengal,2013,2.5,10.0,4.8,45.6,195.9,233.4,263.2,401.4,254.0,353.2,0.0,0.0,1764.1,12.5,246.3,1152.0,353.3
675,Gangetic West Bengal,2014,0.9,42.2,19.9,1.9,124.4,193.6,298.7,292.6,229.5,56.9,0.1,0.6,1261.4,43.1,146.2,1014.4,57.7
676,Gangetic West Bengal,2015,12.9,5.5,19.3,88.7,57.6,247.2,633.1,260.6,164.0,32.7,2.3,6.3,1530.3,18.4,165.6,1304.9,41.3
677,Gangetic West Bengal,2016,9.9,37.9,14.7,5.8,111.9,172.7,334.7,416.7,233.7,69.8,19.2,0.0,1427.0,47.8,132.4,1157.8,89.0
678,Gangetic West Bengal,2017,1.4,0.0,35.2,25.8,106.3,193.7,489.3,264.5,191.4,225.2,21.9,14.0,1568.6,1.4,167.3,1138.9,261.1
778,Orissa,2000,0.9,33.3,1.1,21.3,74.7,233.7,272.3,273.6,158.0,26.6,1.6,0.1,1097.2,34.2,97.0,937.6,28.3
779,Orissa,2001,0.4,1.4,32.3,28.7,71.0,336.1,584.2,380.9,132.0,86.8,18.7,0.0,1672.5,1.8,132.0,1433.2,105.6
780,Orissa,2002,11.7,0.2,13.1,25.1,67.5,182.4,170.2,371.2,206.5,47.1,7.8,0.0,1102.8,11.9,105.7,930.2,54.9
781,Orissa,2003,0.1,16.2,21.6,24.7,22.6,178.9,367.5,425.1,264.3,287.4,11.0,28.8,1648.2,16.3,68.9,1235.7,327.3
782,Orissa,2004,6.8,8.0,6.4,49.2,29.7,216.4,328.0,346.4,148.1,149.6,1.8,0.0,1290.4,14.8,85.3,1038.9,151.4
783,Orissa,2005,29.4,4.0,24.3,20.9,44.9,199.4,410.3,201.0,342.8,206.9,12.4,7.1,1503.4,33.4,90.1,1153.5,226.4
784,Orissa,2006,0.2,0.0,29.9,25.0,105.6,175.2,454.0,624.9,254.7,26.4,21.0,0.0,1716.9,0.2,160.5,1508.8,47.4
785,Orissa,2007,0.7,32.5,8.0,21.0,62.8,321.0,285.1,420.6,401.7,66.4,14.0,0.0,1633.8,33.2,91.8,1428.4,80.4
786,Orissa,2008,27.5,10.4,17.5,28.2,37.4,343.5,306.4,388.3,355.0,22.1,2.7,0.0,1538.9,37.9,83.1,1393.2,24.8
787,Orissa,2009,1.9,0.5,2.7,1.1,68.2,87.3,586.0,286.9,162.5,105.8,27.3,0.1,1330.3,2.4,72.0,1122.7,133.2
788,Orissa,2010,8.8,1.2,5.6,7.8,93.0,146.4,304.9,282.7,236.0,133.0,35.6,37.2,1291.9,9.9,106.4,969.9,205.7
789,Orissa,2011,3.7,16.2,4.9,58.2,75.6,210.1,199.6,358.6,398.7,20.2,0.1,0.4,1346.2,19.8,138.7,1167.0,20.7
790,Orissa,2012,50.8,3.6,0.9,34.8,21.3,169.6,324.3,417.0,242.4,66.0,72.1,3.1,1405.9,54.4,57.0,1153.3,141.3
791,Orissa,2013,3.3,7.8,2.1,53.6,57.7,272.6,380.0,254.9,208.1,391.0,1.2,0.0,1632.4,11.2,113.4,1115.6,392.2
792,Orissa,2014,0.0,17.6,25.1,11.7,111.9,92.2,496.2,386.3,281.1,111.8,2.2,0.9,1536.9,17.7,148.7,1255.7,114.8
793,Orissa,2015,15.1,3.3,10.5,67.6,32.6,238.6,294.8,264.0,237.0,24.7,6.2,15.6,1210.1,18.4,110.7,1034.5,46.5
794,Orissa,2016,2.2,16.7,15.2,8.6,74.9,164.2,280.3,320.8,266.2,93.5,10.4,0.5,1253.5,18.9,98.7,1031.5,104.4
795,Orissa,2017,1.7,0.0,29.8,8.7,55.2,209.5,349.7,301.7,192.2,161.1,30.0,4.8,1344.5,1.7,93.8,1053.1,195.9
895,Jharkhand,2000,3.6,21.2,6.3,19.6,67.7,185.3,358.4,152.8,356.9,19.1,0.4,0.2,1191.5,24.7,93.6,1053.4,19.7
896,Jharkhand,2001,1.9,4.0,30.0,14.0,57.4,324.7,354.6,219.4,132.8,115.5,0.2,0.0,1254.4,5.8,101.4,1031.5,115.7
897,Jharkhand,2002,9.0,5.4,10.7,11.5,38.7,184.9,186.8,277.4,253.4,55.0,1.3,0.8,1034.9,14.4,60.9,902.5,57.1
898,Jharkhand,2003,3.3,30.5,33.6,17.9,21.5,152.4,247.5,245.1,224.0,255.5,6.2,7.4,1245.0,33.9,73.1,869.0,269.1
899,Jharkhand,2004,5.5,2.7,3.1,41.0,31.1,184.4,200.7,327.0,211.5,128.1,0.1,1.6,1136.6,8.2,75.2,923.5,129.7
900,Jharkhand,2005,22.1,17.5,17.7,9.6,23.5,157.2,266.4,214.5,141.5,83.1,1.3,6.1,960.4,39.6,50.7,779.5,90.5
901,Jharkhand,2006,0.3,0.2,22.4,15.7,107.4,198.3,447.1,337.2,298.7,24.6,7.4,0.0,1459.5,0.5,145.5,1281.4,32.0
902,Jharkhand,2007,1.7,48.4,25.5,22.3,58.1,125.4,430.4,353.6,324.7,39.6,7.6,0.0,1437.3,50.1,105.8,1234.1,47.2
903,Jharkhand,2008,19.4,3.6,6.2,10.7,42.9,366.3,377.9,310.5,152.9,34.0,1.0,0.0,1325.3,22.9,59.7,1207.7,35.0
904,Jharkhand,2009,1.8,0.8,2.0,0.8,78.1,62.7,266.6,248.0,248.8,82.2,4.0,0.5,996.1,2.6,80.8,826.1,86.6
905,Jharkhand,2010,0.2,2.3,0.9,6.3,29.2,92.6,170.2,155.1,160.5,55.1,4.7,20.0,697.1,2.5,36.4,578.4,79.8
906,Jharkhand,2011,3.3,2.5,6.4,25.4,55.0,349.0,181.8,403.2,324.6,23.3,0.0,0.1,1374.7,5.8,86.8,1258.7,23.4
907,Jharkhand,2012,34.6,10.3,1.5,9.6,6.6,121.1,287.2,282.4,217.6,37.8,48.6,7.6,1065.0,45.0,17.7,908.3,94.0
908,Jharkhand,2013,1.1,17.9,1.6,22.3,85.0,181.5,211.1,278.1,173.8,281.1,0.0,0.0,1253.6,19.0,109.0,844.5,281.1
909,Jharkhand,2014,9.9,47.5,22.9,1.9,98.2,139.7,321.3,290.9,178.2,44.9,0.0,1.2,1156.6,57.4,123.1,930.1,46.1
910,Jharkhand,2015,12.2,2.6,21.6,55.5,25.5,183.3,429.7,240.7,85.1,22.7,0.2,2.7,1081.8,14.8,102.6,938.8,25.6
911,Jharkhand,2016,12.6,7.6,17.5,1.0,72.8,122.9,301.0,395.6,287.5,45.6,0.0,0.0,1264.0,20.2,91.3,1107.0,45.6
912,Jharkhand,2017,5.1,0.1,4.5,6.1,55.9,116.0,492.1,246.0,134.0,103.4,2.3,0.2,1165.8,5.2,66.6,988.2,105.9
1012,Bihar,2000,0.5,12.1,3.6,37.2,96.2,267.2,264.3,201.4,314.8,9.6,0.0,0.1,1207.0,12.7,137.0,1047.7,9.7
1013,Bihar,2001,1.0,0.5,3.0,12.6,98.4,224.4,224.7,225.9,274.8,181.3,0.5,0.0,1247.0,1.5,114.0,949.8,181.8
1014,Bihar,2002,13.4,11.3,2.2,25.0,74.8,116.6,386.1,247.7,192.8,33.8,1.4,0.7,1105.8,24.6,102.1,943.2,35.8
1015,Bihar,2003,13.2,39.7,10.2,21.9,41.4,230.9,356.8,310.6,183.9,142.0,0.2,3.0,1353.9,52.9,73.5,1082.3,145.2
1016,Bihar,2004,22.7,2.1,2.2,32.0,72.7,246.8,418.4,175.9,115.3,56.4,3.1,0.0,1147.8,24.8,107.0,956.4,59.5
1017,Bihar,2005,13.9,14.3,12.1,7.7,28.6,82.5,300.0,309.1,105.1,34.3,0.0,0.2,907.8,28.2,48.5,796.7,34.5
1018,Bihar,2006,0.1,0.0,1.9,19.2,73.2,200.0,290.7,160.4,285.2,17.6,2.9,1.6,1052.8,0.1,94.3,936.3,22.1
1019,Bihar,2007,0.2,34.2,25.4,20.3,94.4,170.4,549.4,340.6,309.0,39.6,9.1,7.5,1600.2,34.3,140.2,1369.4,56.2
1020,Bihar,2008,25.6,4.4,3.2,10.4,48.9,291.2,397.2,278.1,117.1,21.4,0.1,0.0,1197.7,30.0,62.6,1083.5,21.6
1021,Bihar,2009,0.3,0.4,1.1,2.9,98.5,67.7,213.6,298.9,127.6,72.6,5.1,0.8,889.3,0.7,102.5,707.7,78.4
1022,Bihar,2010,0.1,1.1,0.2,6.5,44.4,80.9,191.2,158.4,105.7,33.6,5.0,2.1,629.2,1.3,51.1,536.2,40.7
1023,Bihar,2011,4.2,7.7,9.2,23.9,74.5,211.0,241.1,278.7,234.1,10.0,2.0,0.9,1097.1,11.8,107.6,964.8,12.9
1024,Bihar,2012,18.1,2.7,7.3,20.4,18.8,96.2,354.0,240.4,233.8,34.3,6.4,0.0,1032.4,20.9,46.5,924.4,40.6
1025,Bihar,2013,5.1,22.6,0.6,32.3,89.5,183.3,182.0,213.6,143.3,197.1,0.4,0.0,1069.9,27.7,122.4,722.2,197.5
1026,Bihar,2014,17.0,33.5,8.4,0.7,103.9,115.2,265.4,307.6,160.3,47.8,0.0,1.2,1061.0,50.5,112.9,848.6,49.0
1027,Bihar,2015,12.8,1.8,27.2,38.7,39.5,122.1,231.5,287.0,101.7,10.4,0.0,0.0,872.7,14.6,105.5,742.3,10.4
