,non_NaN_count
"Made a digital merchant payment, rural (% age 15+)",10
"Made a digital merchant payment, urban (% age 15+)",11
Made a digital online merchant payment for an online purchase (% age 15+),14
Made a digital payment (% age 15+),49
"Made a digital payment, female (% age 15+)",49
"Made a digital payment, male (% age 15+)",49
"Made a digital payment, rural (% age 15+)",10
"Made a digital payment, urban (% age 15+)",11
Made a utility payment (% age 15+),49
"Made a utility payment, female (% age 15+)",49
"Made a utility payment, male (% age 15+)",49
"Made a utility payment, rural (% age 15+)",10
"Made a utility payment, urban (% age 15+)",11
Made a utility payment: using a financial institution account (% age 15+),49
Made a utility payment: using a mobile phone (% age 15+),49
"Made a withdrawal (% with a financial institution account, age 15+)",48
Made or received a digital payment (% age 15+),49
"Made or received a digital payment, female (% age 15+)",49
"Made or received a digital payment, male (% age 15+)",49
"Made or received a digital payment, rural (% age 15+)",10
"Made or received a digital payment, urban (% age 15+)",11
Mobile money account (% age 15+),45
"Mobile money account, female (% age 15+)",45
"Mobile money account, male (% age 15+)",45
"Mobile money account, rural (% age 15+)",10
"Mobile money account, urban (% age 15+)",11
Own a mobile phone (% age 15+),16
Owns a debit or credit card (% age 15+),64
"Owns a debit or credit card, female (% age 15+)",64
"Owns a debit or credit card, male (% age 15+)",64
"Owns a debit or credit card, rural (% age 15+)",10
"Owns a debit or credit card, urban (% age 15+)",11
Received digital payments (% age 15+),49
"Received digital payments, female (% age 15+)",49
"Received digital payments, male (% age 15+)",49
"Received digital payments, rural (% age 15+)",10
"Received digital payments, urban (% age 15+)",11
Saved at a financial institution or using a mobile money account (% age 15+),16
"Saved at a financial institution or using a mobile money account, female (% age 15+)",16
"Saved at a financial institution or using a mobile money account, male (% age 15+)",16
"Saved at a financial institution or using a mobile money account, rural (% age 15+)",10
"Saved at a financial institution or using a mobile money account, urban (% age 15+)",11
Saved money using a mobile money account (% age 15+),16
"Saved money using a mobile money account, female (% age 15+)",16
"Saved money using a mobile money account, male (% age 15+)",16
"Saved money using a mobile money account, rural (% age 15+)",10
"Saved money using a mobile money account, urban (% age 15+)",11
Store money using a financial institution or a mobile money account (% age 15+),16
"Store money using a financial institution or a mobile money account (% with an account,  age 15+)",16
Store money using a mobile money account (% age 15+),10
"Store money using a mobile money account (% with a mobile money account acount, age 15+)",10
"Use a mobile phone or the internet to make payments, buy things, or to send or receive money using a financial institution account (% age 15+)",16
"Use a mobile phone or the internet to make payments, buy things, or to send or receive money using a financial institution account (% with a financial institution account, age 15+)",16
Used a mobile phone or the internet to access a financial institution account (% age 15+),17
"Used a mobile phone or the internet to access a financial institution account (% with a financial institution account, age 15+)",17
"Used a mobile phone or the internet to access an account (% with an account, age 15+)",17
Used a mobile phone or the internet to access an account(% age 15+),17
"Used a mobile phone or the internet to access an account, female (% age 15+)",17
"Used a mobile phone or the internet to access an account, male (% age 15+)",17
"Used a mobile phone or the internet to access an account, rural (% age 15+)",0
"Used a mobile phone or the internet to access an account, urban (% age 15+)",0
Used a mobile phone or the internet to buy something online (% age 15+),33
"Used a mobile phone or the internet to buy something online, female (% age 15+)",33
"Used a mobile phone or the internet to buy something online, male (% age 15+)",33
"Used a mobile phone or the internet to buy something online, rural (% age 15+)",10
"Used a mobile phone or the internet to buy something online, urban (% age 15+)",11
Used a mobile phone or the internet to check account balance(% age 15+),33
"Used a mobile phone or the internet to check account balance(% with a financial institution account, age 15+)",33
"Used a mobile phone or the internet to pay bills, female (% age 15+)",33
"Used a mobile phone or the internet to pay bills, male (% age 15+)",33
"Used a mobile phone or the internet to pay bills, rural (% age 15+)",10
"Used a mobile phone or the internet to pay bills, urban (% age 15+)",11
Used a mobile phone or the internet to send money (% age 15+),16
"Used a mobile phone or the internet to send money, female (% age 15+)",16
"Used a mobile phone or the internet to send money, male (% age 15+)",16
"Used a mobile phone or the internet to send money, rural (% age 15+)",10
"Used a mobile phone or the internet to send money, urban (% age 15+)",11
Food supply quantity (kg/capita/yr)_Cereals - Excluding Beer,236
Food supply quantity (kg/capita/yr)_Starchy Roots,236
rolling_std,233
