Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Antigua and Barbuda,ATG,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.356661889,5.053972723,5.116721592,4.901448174,4.774865995,4.843718114,4.910029814,4.849235039,4.933061034,4.857445055,4.754306493,4.382114967,3.913120952,3.737893499,3.579841493,3.411949566,3.320811229,3.223327025,3.234275672,3.230406244,2.819944568,2.801784857,2.618191077,2.798319466,2.636508034,2.621224572,2.596053561,2.616852058,2.558292564,2.765998423,2.491567096,2.177414308,2.14756517,
Austria,AUT,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.364222916,7.054432501,6.903760931,7.196505514,7.269136951,7.335385332,6.803499374,6.425995697,6.144063609,5.989296608,5.75382394,5.716077431,5.452605108,4.950286961,5.27460473,5.244486836,5.526847026,5.45125333,5.56755832,5.429738142,4.937548881,4.675234,4.575715939,4.836908131,4.531010178,4.348169532,3.929858427,3.69410049,3.656141582,3.863844583,3.734813394,3.53856112,3.117193714,
Azerbaijan,AZE,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.51178242,45.02241993,44.09713861,43.77482885,44.21426205,44.36812685,42.49860834,42.3017831,42.31393494,41.00957744,39.95422333,40.18517532,38.20239238,39.53689212,39.31744701,39.54689702,38.54910829,39.59318156,38.12476592,38.22997245,37.88278509,37.65333722,37.10055663,36.75345734,36.35585242,36.33689323,36.31103343,36.21047922,35.90256339,35.9152015,35.86078673,35.76217636,35.4905266,
Burundi,BDI,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.86702335,91.86757244,91.91214356,91.98099431,92.26429815,92.48245881,92.45732053,92.2149658,92.08861747,91.92972088,91.64969613,91.25382919,91.14835195,90.78362135,90.55080397,90.07319905,89.68415665,89.23167347,88.87280115,88.38969048,87.87735496,87.31475815,86.70841516,86.18502903,86.38734515,86.31044638,86.30987259,85.98876499,85.58977795,85.31948457,85.42979953,85.20737195,85.05400293,
Belgium,BEL,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.712733925,2.640099371,2.631974505,2.888418753,2.678595613,2.741083648,2.656516611,2.237786346,2.393036326,1.907900754,1.379626175,1.789768722,1.721096386,2.218832039,2.038963929,1.954268311,1.856318663,1.552809281,1.487029475,1.351971319,1.300522087,1.17199906,1.359837143,1.218170742,1.176526436,1.251361142,1.163609732,0.994280088,0.919567651,0.915485146,0.936000364,0.907595652,1.089829947,
Benin,BEN,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.82567473,56.59355894,56.2745965,56.06970247,55.52938682,55.06228884,54.47350546,53.9582447,53.27397261,52.46506393,51.61523747,50.83193047,50.16520922,49.39782911,48.92234792,48.2112785,47.23132071,46.33259224,45.71451902,45.14707583,43.61342044,41.74129931,39.61387358,37.57639906,36.06770954,34.38326185,32.45555035,30.61302383,29.55587366,29.50068503,29.1964884,28.51561638,27.99444189,
Burkina Faso,BFA,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.52379893,54.49048757,54.25413416,54.16055863,53.69563931,52.77138231,52.12504627,51.31932872,50.40220192,50.07806477,49.09453034,48.40683918,47.26090702,46.53779442,45.27458086,44.30155603,43.6248615,42.74531994,42.21391875,40.99158757,39.99265885,39.01162916,38.10204254,37.39901083,36.73425757,35.82017233,34.87237129,33.8820491,33.01789762,33.07085275,32.92994382,31.37966323,31.37966509,
Bangladesh,BGD,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.17032581,64.08224202,63.85243718,63.64223856,63.38727948,62.98749445,62.50943338,61.98076974,61.44664336,60.85782296,58.06016774,54.98663608,51.73495144,49.95750836,48.07627338,48.07571332,47.93314669,47.76077557,47.54254301,47.30637714,46.66833864,45.91009275,45.09918213,44.38366405,43.53791766,42.66474759,40.59730663,39.55212863,38.46479327,37.97156899,37.30611655,35.6621645,35.2740717,
Bulgaria,BGR,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.47808616,15.05446369,15.12549143,15.21571903,15.24005695,14.94317628,14.4867499,14.05763257,13.77616461,13.19635059,9.693552695,10.70513488,11.13951406,10.74526596,8.938790027,8.107967418,7.5443407,7.470844845,7.088892402,6.814952758,6.779052277,6.440072163,6.659789271,7.007936188,6.855850531,6.753563764,7.014004318,6.577733116,6.621756458,6.585706348,6.291873026,6.444037161,5.677815592,
Bahrain,BHR,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.432765789,2.315891231,2.201063585,2.111053646,2.024520543,1.941268708,1.863110972,1.78002591,1.708068867,1.639895477,1.567741721,1.516489826,1.463168643,1.402525507,1.34575526,1.286644575,1.230308346,1.178880031,1.140421697,1.087567261,1.097039045,1.09313638,1.087418279,1.07882092,1.074470676,1.037839541,1.005475853,0.97777414,0.947829465,0.934770507,0.916374889,0.898122329,0.878598105,
"Bahamas, The",BHS,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.253755774,5.251136139,5.458745279,5.430470477,4.33815743,4.991724687,3.838530923,3.529754581,4.031746032,4.112018118,4.20280472,3.711595426,2.999399749,4.431645807,3.493815572,2.505852279,2.30292887,2.937376647,2.881416832,3.264355746,3.690007868,3.619421663,3.533614195,3.474913795,3.412376199,3.32804091,3.240161244,3.151192857,3.078619896,3.048077876,3.015188506,2.954453945,2.890560354,
Bosnia and Herzegovina,BIH,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.06167383,24.80239871,24.47094552,24.03904482,23.43763414,22.70284773,21.87877525,20.97865499,20.34298964,19.46523027,18.81017927,19.10421393,19.44355021,19.82822945,20.18857867,20.53927798,19.81547532,20.57954423,21.2229461,19.69387084,19.61004082,20.55810232,18.86354018,17.07915087,17.87567389,17.95731423,18.87106046,15.72494155,17.9624372,12.73347787,17.47994145,16.87264448,17.57250147,
Belarus,BLR,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22337387,23.23900595,22.59955841,22.04338889,21.91727435,21.41160275,20.7093161,20.05550851,19.5159683,18.88827219,18.20713668,17.62050451,16.96488787,16.28476435,15.59968501,14.95224658,14.31793384,13.69978384,13.23259352,12.60314368,12.09139789,11.59457246,11.10647903,10.61748242,10.21227218,9.738265187,10.69647444,11.31474066,11.0570999,10.89236336,10.90722395,10.10830072,9.970815554,
Belize,BLZ,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.83469454,28.45691752,28.06133429,27.44740061,27.15332717,28.68160963,29.91011373,25.01569085,27.47148686,26.19097204,24.6824445,23.31504051,21.96867343,20.76889134,19.55492172,19.36506339,19.12645838,18.93318133,18.67403119,18.4662561,18.32822023,18.0429443,17.45870452,17.67060951,18.0818937,18.56296997,17.41826236,17.42598474,16.86093981,17.33674632,16.38598233,15.88088276,15.61904205,
Bermuda,BMU,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.83083504,43.47451354,43.11414723,42.73533862,42.27624585,41.79361269,41.39829232,40.73424906,39.95025289,38.93898227,44.20203258,42.3853948,35.08315952,35.08329388,38.60841395,39.50002094,36.10002756,31.16428331,30.06792428,31.72462456,33.17770386,30.85556496,32.76039102,30.98783925,29.6773811,29.74278461,30.49015406,31.07002453,27.41442078,30.00065082,27.64741303,24.80813494,24.35061893,
Brazil,BRA,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.345991,18.81070982,18.34844512,17.54396013,17.03775723,15.9295986,15.76950201,15.07447706,15.580907,15.38436231,15.32484889,15.4077165,15.56647517,16.04345295,15.51614632,14.4959486,13.54863733,12.70535328,12.28666858,11.46522564,10.82440418,9.84814848,10.02606916,9.306502419,9.332391182,9.797929632,9.191427931,9.056942358,8.877275533,9.314072723,9.495608784,8.731440558,8.202818535,
Barbados,BRB,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.522952468,6.243670001,5.555825455,5.307795737,4.640845819,5.26798177,5.267819098,4.436757773,4.313198752,3.721060362,4.20162187,4.043510936,4.556187822,3.40880145,2.379329758,3.610436671,3.006269953,2.821189951,3.001058419,2.988396944,2.959116203,2.951138738,2.915590392,2.779308656,2.890273321,2.86173727,3.106194241,3.095407283,2.828649404,2.808549067,2.783309095,2.720735029,2.634675059,
Brunei Darussalam,BRN,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02746113,1.944444444,1.868212932,1.795543471,1.710600112,1.648445243,1.588812363,1.524478773,1.478556019,1.422773899,1.363696196,1.360809954,1.360408372,1.361617614,1.363652611,1.361797386,1.360610526,1.363986236,1.359625377,1.360480802,1.363076443,1.362475613,1.362402081,1.365403604,1.361723452,1.360872994,1.358534846,1.060776481,1.953592027,1.336686268,1.406200064,1.516534213,1.507992451,
Bhutan,BTN,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.4243466,72.2332063,72.00707802,71.84718301,71.5735811,71.18470743,70.92714856,70.66280072,70.36900157,69.52861685,68.83571121,68.22680168,67.54106547,66.31400864,65.04514266,62.80331837,61.90583356,60.57764571,58.82510515,57.19150162,57.09159246,58.10405095,56.34438084,56.65095547,57.98548067,56.80307042,55.48945312,53.9999942,51.12564494,49.9154101,49.85903352,43.95577933,43.81366284,
Botswana,BWA,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.94866705,15.76009803,15.699069,15.6263635,15.32241666,15.0735106,17.70619858,20.73220315,20.25675459,19.95556271,19.12052774,20.11052713,21.21946906,23.8846061,26.4964491,29.09176489,27.52321406,26.12099967,25.08911853,23.58322371,22.31839108,21.56229233,20.12555073,19.0504745,18.64772363,17.53896183,16.64088532,15.76663702,14.88875995,19.44339341,17.59339923,17.6383928,17.9988596,
Central African Republic,CAF,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.08885113,77.35307331,77.37965056,77.20780972,76.90347137,77.14952338,76.86676139,76.58889629,76.32806708,76.59368256,76.17655698,75.81649479,76.3996804,75.80248803,75.68778216,75.17297091,74.65442336,74.41400767,73.50836222,72.95656997,72.39761032,71.66940253,74.17976619,73.87209945,73.141945,72.49951922,71.88020563,71.32694003,70.90775867,71.01071906,70.9449037,70.56496485,70.53203845,
Canada,CAN,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.491259372,3.451330803,3.482529912,3.348043653,3.153489658,3.112289208,3.00730972,2.990998556,2.805976324,2.51550915,2.160145383,2.116886674,2.107054201,2.023168727,2.122050089,2.081784963,1.957534257,1.914596508,1.901447567,1.77843013,1.768166861,1.72459522,1.802619175,1.727550982,1.643936959,1.947458882,1.516207311,1.518866148,1.537959904,1.550650777,1.364870621,1.30655921,1.271544025,
Central Europe and the Baltics,CEB,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.08315503,22.59134769,22.09911058,21.52977572,21.18647712,20.45409532,20.37158846,20.1363772,20.14969928,19.94147495,19.56337815,18.2352365,17.66650247,16.19195974,15.76039682,14.57246028,13.67374209,12.95911603,12.67169665,13.14282727,12.72960282,12.60095139,12.17931266,11.73642538,11.2230259,10.23651063,10.00673281,9.555078775,9.144854766,9.14282642,8.363420284,8.123168682,7.671681883,
Switzerland,CHE,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.044614938,4.975122301,4.912371483,4.836990461,4.761158927,4.641750875,4.81753161,4.926500278,5.091803249,4.640721065,4.453939149,4.09414695,4.08077399,3.752945022,3.718838852,3.666434882,3.899548976,4.074470532,3.343305388,3.554499628,3.614357862,3.480587529,3.52860663,3.528267972,3.387494856,3.271348516,3.135428137,3.010655635,2.537955377,2.503209175,2.37331321,2.305050571,1.905813564,
Channel Islands,CHI,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.048001995,4.992126721,4.923789129,4.843327251,4.755231689,4.657209674,4.539657476,4.415565016,4.287641504,4.144913323,4.000057103,3.868785355,3.737734672,3.618811043,3.50600391,3.400985113,3.302059714,3.221957041,3.162761939,3.081606494,3.003502744,2.923984484,2.843614682,2.758104605,2.677852969,2.603855058,2.530998338,2.464553952,2.399701437,2.380025859,2.35172056,2.316352447,2.276326937,
Chile,CHL,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.09062276,18.02031794,16.55516191,16.21848136,15.70516097,15.40843249,14.42121037,14.43869346,14.43377255,14.4374849,13.60368296,13.49796665,13.59951992,13.06842524,12.53164188,12.03320378,11.50253286,10.95917895,10.55922054,10.09816788,9.732978879,9.343272613,8.493908653,8.276589929,8.209647672,8.277956351,8.173458565,7.999597072,7.751844599,7.184744079,6.54762055,6.327573907,6.20836443,
China,CHN,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.69980579,58.50012071,56.40043076,54.29990331,52.20010248,50.50036229,49.9004566,49.79967981,50.09944797,49.93576444,49.99999978,49.99999993,49.09948997,46.90024759,44.80019278,42.60049595,40.80004228,39.60006854,38.099885,36.70061065,34.79979029,33.60059407,31.40028783,29.50047192,28.30047322,27.42212557,26.68358241,25.75149692,24.72198964,23.59986176,23.38954394,22.75769173,22.33370987,
Cote d'Ivoire,CIV,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.05878545,55.85618806,55.66770179,55.41414648,55.09527982,54.70996441,54.14483814,53.74705497,53.22175801,52.85543036,52.71684298,52.51277613,52.3014662,51.46036406,50.84685351,50.31943999,49.74292027,49.12678818,48.35995219,47.67243591,47.42230013,46.2404831,45.17015392,44.41972032,43.56735247,42.74187744,41.891269,43.98135578,45.94493172,46.22141719,46.16672074,45.69648519,45.23172549,
Cameroon,CMR,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.04026911,69.03057267,69.02058283,68.9430313,68.72916463,68.44000433,68.11871938,67.70744111,67.19644103,66.63666689,65.88752857,65.01607794,64.03349596,62.94862313,62.00010985,60.95990379,59.82735413,58.21977935,56.57490249,54.93074754,53.12362778,51.314459,49.46361107,47.61304024,46.92020148,46.238231,45.59281581,44.92286841,44.28437857,44.2181218,43.83430805,43.92073378,43.41990479,
"Congo, Dem. Rep.",COD,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.44270343,70.90463155,71.52170767,71.9332816,72.01153052,72.03756486,72.53035483,72.70552954,73.29057445,74.16818837,74.63461508,74.26322734,73.52191121,72.67280304,71.87047653,71.06672502,69.98587886,68.77671872,67.80290729,66.16304992,64.41732086,62.64160279,61.26465421,59.86844975,58.78748054,58.32912266,57.7763984,56.95906408,56.26687718,56.33544986,56.18837747,55.62160707,55.0634904,
"Congo, Rep.",COG,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.15473123,45.99459507,45.80913667,45.85187636,45.66684044,45.37590139,44.9948915,44.46231837,44.40946315,43.77875033,42.89755489,42.06399299,41.44696309,40.81552825,39.96864159,38.95653003,38.34572096,37.67803455,36.4572052,35.62626016,34.85762468,33.91655372,33.36203127,32.54073104,31.86887207,31.58862523,31.59565277,31.54739461,31.03724766,31.30476238,31.18243531,30.60069552,30.16644543,
Colombia,COL,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.24037691,20.1916716,19.54203036,18.66014575,18.4077784,18.54596773,18.12183749,18.35348768,19.09335355,20.30081304,20.86644816,20.13552139,20.67973987,19.9120198,20.3203337,19.50451326,18.378583,18.04762708,18.69103489,18.54223267,18.04385308,17.60657218,17.02439509,16.43590286,16.31957472,16.29995964,16.93460024,16.99937139,16.1112144,16.66295731,15.9278317,14.67175829,14.43888558,
Comoros,COM,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.9239153,60.52995767,60.32832286,60.55456702,60.26365532,60.2630771,59.85723422,59.62626831,59.29266663,58.06221486,57.53496534,56.96349334,56.36866861,55.71855758,54.10422724,52.47660368,51.00381321,49.15314478,47.39034727,45.52468941,43.60004382,41.78090231,39.81735005,38.00539232,37.96787508,37.56895223,36.99686892,36.34447957,35.83588688,35.6585471,35.2126375,34.90364365,34.43307669,
Cabo Verde,CPV,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.78296165,36.20139137,35.69709862,34.95755142,34.17540237,33.42327947,32.48590507,31.55078957,30.70872782,29.55418017,28.65986917,27.6285205,26.693563,25.60356946,24.61699742,23.67497584,22.55137138,21.72457772,21.18240163,20.16848609,19.17167308,18.33374307,17.47567152,16.61047889,15.76174955,14.72760849,13.61705698,11.83846107,10.60465817,10.74729062,10.56674057,10.16597835,9.915105822,
Costa Rica,CRI,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.69901852,18.55964081,18.42182137,18.06238793,18.32079356,18.17143355,17.78861217,17.57881102,17.01654047,16.63549096,15.64261534,15.90782893,15.2084516,14.87891111,15.24943803,14.03738349,13.26666275,12.39528087,10.88944373,12.35088763,12.81089456,13.29107734,13.88612189,14.16406613,14.3867361,14.93207839,15.36851923,15.78341667,15.3081401,16.54649319,15.20456244,13.40746157,13.41196691,
Caribbean small states,CSS,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.51034166,19.24174589,18.78945431,18.48598395,17.51836295,17.02855199,15.93321029,15.20448509,15.05954158,14.33932457,13.58058098,12.80607624,12.60301442,12.62078134,12.14319173,12.52245947,12.03291857,11.9391769,11.83400104,11.60409049,11.31525955,11.02354217,10.65800336,10.6487862,10.69873874,10.72322143,10.46347697,10.00903255,9.624729176,8.917385998,8.921225439,8.617442033,8.393993106,
