country,date,indicator,countryiso3code,value,unit,obs_status,decimal,Region
Bangladesh,2021,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",BGD,43.46,,,0,South Asia
Bangladesh,2020,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2019,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2018,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2017,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",BGD,35.84,,,0,South Asia
Bangladesh,2016,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2015,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2014,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",BGD,26.45,,,0,South Asia
Bangladesh,2013,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2012,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2011,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",BGD,26.01,,,0,South Asia
Bangladesh,2024,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2023,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2022,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2021,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",BGD,62.86,,,0,South Asia
Bangladesh,2020,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2019,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2018,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2017,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",BGD,64.59,,,0,South Asia
Bangladesh,2016,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2015,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2014,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",BGD,35.37,,,0,South Asia
Bangladesh,2013,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2012,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2011,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",BGD,37.29,,,0,South Asia
Bangladesh,2024,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",BGD,..,,,0,South Asia
Bangladesh,2023,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",BGD,..,,,0,South Asia
Bangladesh,2022,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",BGD,..,,,0,South Asia
Bangladesh,2021,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",BGD,54.55,,,0,South Asia
Bangladesh,2020,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",BGD,..,,,0,South Asia
Bangladesh,2019,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",BGD,..,,,0,South Asia
Bangladesh,2018,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",BGD,..,,,0,South Asia
Bangladesh,2017,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",BGD,53.53,,,0,South Asia
Bangladesh,2016,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",BGD,..,,,0,South Asia
Bangladesh,2015,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",BGD,..,,,0,South Asia
Bangladesh,2014,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",BGD,35.44,,,0,South Asia
Bangladesh,2013,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",BGD,..,,,0,South Asia
Bangladesh,2012,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",BGD,..,,,0,South Asia
Bangladesh,2011,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",BGD,36.76,,,0,South Asia
Bangladesh,2024,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2023,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2022,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2021,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",BGD,48.65,,,0,South Asia
Bangladesh,2020,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2019,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2018,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2017,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",BGD,40.08,,,0,South Asia
Bangladesh,2016,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2015,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2014,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",BGD,23.03,,,0,South Asia
Bangladesh,2013,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2012,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2011,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",BGD,19.06,,,0,South Asia
Bangladesh,2024,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2023,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2022,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2021,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",BGD,46.57,,,0,South Asia
Bangladesh,2020,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2019,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2018,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2017,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",BGD,39.84,,,0,South Asia
Bangladesh,2016,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2015,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2014,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",BGD,24.9,,,0,South Asia
Bangladesh,2013,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2012,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2011,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",BGD,21.06,,,0,South Asia
Bangladesh,2024,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2023,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2022,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2021,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",BGD,55.57,,,0,South Asia
Bangladesh,2020,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2019,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2018,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2017,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",BGD,56.68,,,0,South Asia
Bangladesh,2016,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2015,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2014,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",BGD,36.29,,,0,South Asia
Bangladesh,2013,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2012,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2011,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",BGD,40.18,,,0,South Asia
Bangladesh,2024,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2023,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2022,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2021,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",BGD,56.63,,,0,South Asia
Bangladesh,2020,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2019,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2018,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2017,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",BGD,57.23,,,0,South Asia
Bangladesh,2016,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2015,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2014,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",BGD,37.21,,,0,South Asia
Bangladesh,2013,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2012,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",BGD,..,,,0,South Asia
Bangladesh,2011,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",BGD,42.51,,,0,South Asia
Bangladesh,2024,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",BGD,..,,,0,South Asia
Bangladesh,2023,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",BGD,..,,,0,South Asia
Bangladesh,2022,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",BGD,..,,,0,South Asia
Bangladesh,2021,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",BGD,47.8,,,0,South Asia
Bangladesh,2020,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",BGD,..,,,0,South Asia
Bangladesh,2019,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",BGD,..,,,0,South Asia
Bangladesh,2018,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",BGD,..,,,0,South Asia
Bangladesh,2017,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",BGD,40.99,,,0,South Asia
Bangladesh,2016,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",BGD,..,,,0,South Asia
Bangladesh,2015,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",BGD,..,,,0,South Asia
Bangladesh,2014,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",BGD,20.83,,,0,South Asia
Bangladesh,2013,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",BGD,..,,,0,South Asia
Bangladesh,2012,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",BGD,..,,,0,South Asia
Bangladesh,2011,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",BGD,20.32,,,0,South Asia
Bangladesh,2022,"Account, female (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2021,"Account, female (% age 15+)",BGD,43.46,,,0,South Asia
Bangladesh,2017,"Account, female (% age 15+)",BGD,35.84,,,0,South Asia
Bangladesh,2014,"Account, female (% age 15+)",BGD,26.45,,,0,South Asia
Bangladesh,2011,"Account, female (% age 15+)",BGD,26.01,,,0,South Asia
Bangladesh,2022,"Account, male (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2021,"Account, male (% age 15+)",BGD,62.86,,,0,South Asia
Bangladesh,2017,"Account, male (% age 15+)",BGD,64.59,,,0,South Asia
Bangladesh,2014,"Account, male (% age 15+)",BGD,35.37,,,0,South Asia
Bangladesh,2011,"Account, male (% age 15+)",BGD,37.29,,,0,South Asia
Bangladesh,2022,"Account, rural (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2021,"Account, rural (% age 15+)",BGD,49.99,,,0,South Asia
Bangladesh,2017,"Account, rural (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2014,"Account, rural (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2011,"Account, rural (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2022,"Account, urban (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2021,"Account, urban (% age 15+)",BGD,53.7,,,0,South Asia
Bangladesh,2017,"Account, urban (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2014,"Account, urban (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2011,"Account, urban (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2024,Current account balance (% of GDP),BGD,..,,,0,South Asia
Bangladesh,2023,Current account balance (% of GDP),BGD,-1.64602615306365,,,0,South Asia
Bangladesh,2022,Current account balance (% of GDP),BGD,-3.81010813185136,,,0,South Asia
Bangladesh,2021,Current account balance (% of GDP),BGD,-3.78969259910934,,,0,South Asia
Bangladesh,2020,Current account balance (% of GDP),BGD,0.31894044196432,,,0,South Asia
Bangladesh,2019,Current account balance (% of GDP),BGD,-0.839485005371137,,,0,South Asia
Bangladesh,2018,Current account balance (% of GDP),BGD,-2.20783912081883,,,0,South Asia
Bangladesh,2017,Current account balance (% of GDP),BGD,-2.03756600416726,,,0,South Asia
Bangladesh,2016,Current account balance (% of GDP),BGD,0.351171861174517,,,0,South Asia
Bangladesh,2015,Current account balance (% of GDP),BGD,1.32188871858147,,,0,South Asia
Bangladesh,2014,Current account balance (% of GDP),BGD,0.437159797644511,,,0,South Asia
Bangladesh,2013,Current account balance (% of GDP),BGD,1.3723251518825,,,0,South Asia
Bangladesh,2012,Current account balance (% of GDP),BGD,1.93195276968292,,,0,South Asia
Bangladesh,2011,Current account balance (% of GDP),BGD,-0.125842241657655,,,0,South Asia
Bangladesh,2024,"Current account balance (BoP, current US$)",BGD,..,,,0,South Asia
Bangladesh,2023,"Current account balance (BoP, current US$)",BGD,-7199970746.44472,,,0,South Asia
Bangladesh,2022,"Current account balance (BoP, current US$)",BGD,-17531514896.3583,,,0,South Asia
Bangladesh,2021,"Current account balance (BoP, current US$)",BGD,-15775415833.0742,,,0,South Asia
Bangladesh,2020,"Current account balance (BoP, current US$)",BGD,1192771686.32568,,,0,South Asia
Bangladesh,2019,"Current account balance (BoP, current US$)",BGD,-2948537074.51494,,,0,South Asia
Bangladesh,2018,"Current account balance (BoP, current US$)",BGD,-7095172568.14978,,,0,South Asia
Bangladesh,2017,"Current account balance (BoP, current US$)",BGD,-5984992475.63152,,,0,South Asia
Bangladesh,2016,"Current account balance (BoP, current US$)",BGD,931393867.987116,,,0,South Asia
Bangladesh,2015,"Current account balance (BoP, current US$)",BGD,2579621008.77621,,,0,South Asia
Bangladesh,2014,"Current account balance (BoP, current US$)",BGD,755790761.660141,,,0,South Asia
Bangladesh,2013,"Current account balance (BoP, current US$)",BGD,2058473420.43086,,,0,South Asia
Bangladesh,2012,"Current account balance (BoP, current US$)",BGD,2575500680.61049,,,0,South Asia
Bangladesh,2011,"Current account balance (BoP, current US$)",BGD,-161842538.678825,,,0,South Asia
Bangladesh,2022,Financial institution account (% age 15+),BGD,..,,,0,South Asia
Bangladesh,2021,Financial institution account (% age 15+),BGD,37.69,,,0,South Asia
Bangladesh,2017,Financial institution account (% age 15+),BGD,40.97,,,0,South Asia
Bangladesh,2014,Financial institution account (% age 15+),BGD,29.14,,,0,South Asia
Bangladesh,2011,Financial institution account (% age 15+),BGD,31.74,,,0,South Asia
Bangladesh,2022,"Financial institution account, female (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2021,"Financial institution account, female (% age 15+)",BGD,30.58,,,0,South Asia
Bangladesh,2017,"Financial institution account, female (% age 15+)",BGD,31.91,,,0,South Asia
Bangladesh,2014,"Financial institution account, female (% age 15+)",BGD,25.22,,,0,South Asia
Bangladesh,2011,"Financial institution account, female (% age 15+)",BGD,26.01,,,0,South Asia
Bangladesh,2022,"Financial institution account, male (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2021,"Financial institution account, male (% age 15+)",BGD,45.33,,,0,South Asia
Bangladesh,2017,"Financial institution account, male (% age 15+)",BGD,50.24,,,0,South Asia
Bangladesh,2014,"Financial institution account, male (% age 15+)",BGD,32.93,,,0,South Asia
Bangladesh,2011,"Financial institution account, male (% age 15+)",BGD,37.29,,,0,South Asia
Bangladesh,2022,"Financial institution account, rural (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2021,"Financial institution account, rural (% age 15+)",BGD,30.1,,,0,South Asia
Bangladesh,2017,"Financial institution account, rural (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2014,"Financial institution account, rural (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2011,"Financial institution account, rural (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2022,"Financial institution account, urban (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2021,"Financial institution account, urban (% age 15+)",BGD,40.08,,,0,South Asia
Bangladesh,2017,"Financial institution account, urban (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2014,"Financial institution account, urban (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2011,"Financial institution account, urban (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2022,Mobile money account (% age 15+),BGD,..,,,0,South Asia
Bangladesh,2021,Mobile money account (% age 15+),BGD,29.01,,,0,South Asia
Bangladesh,2017,Mobile money account (% age 15+),BGD,21.25,,,0,South Asia
Bangladesh,2014,Mobile money account (% age 15+),BGD,2.69,,,0,South Asia
Bangladesh,2011,Mobile money account (% age 15+),BGD,..,,,0,South Asia
Bangladesh,2022,"Mobile money account, female (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2021,"Mobile money account, female (% age 15+)",BGD,20.28,,,0,South Asia
Bangladesh,2017,"Mobile money account, female (% age 15+)",BGD,10.27,,,0,South Asia
Bangladesh,2014,"Mobile money account, female (% age 15+)",BGD,2.12,,,0,South Asia
Bangladesh,2011,"Mobile money account, female (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2022,"Mobile money account, male (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2021,"Mobile money account, male (% age 15+)",BGD,38.39,,,0,South Asia
Bangladesh,2017,"Mobile money account, male (% age 15+)",BGD,32.47,,,0,South Asia
Bangladesh,2014,"Mobile money account, male (% age 15+)",BGD,3.24,,,0,South Asia
Bangladesh,2011,"Mobile money account, male (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2022,"Mobile money account, rural (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2021,"Mobile money account, rural (% age 15+)",BGD,34.06,,,0,South Asia
Bangladesh,2017,"Mobile money account, rural (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2014,"Mobile money account, rural (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2011,"Mobile money account, rural (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2022,"Mobile money account, urban (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2021,"Mobile money account, urban (% age 15+)",BGD,27.41,,,0,South Asia
Bangladesh,2017,"Mobile money account, urban (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2014,"Mobile money account, urban (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2011,"Mobile money account, urban (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2022,Own a mobile phone (% age 15+),BGD,..,,,0,South Asia
Bangladesh,2021,Own a mobile phone (% age 15+),BGD,78.94,,,0,South Asia
Bangladesh,2017,Own a mobile phone (% age 15+),BGD,..,,,0,South Asia
Bangladesh,2014,Own a mobile phone (% age 15+),BGD,..,,,0,South Asia
Bangladesh,2011,Own a mobile phone (% age 15+),BGD,..,,,0,South Asia
Bangladesh,2022,Owns a debit or credit card (% age 15+),BGD,..,,,0,South Asia
Bangladesh,2021,Owns a debit or credit card (% age 15+),BGD,4.94,,,0,South Asia
Bangladesh,2017,Owns a debit or credit card (% age 15+),BGD,6.2,,,0,South Asia
Bangladesh,2014,Owns a debit or credit card (% age 15+),BGD,5.17,,,0,South Asia
Bangladesh,2011,Owns a debit or credit card (% age 15+),BGD,2.49,,,0,South Asia
Bangladesh,2022,"Owns a debit or credit card, female (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2021,"Owns a debit or credit card, female (% age 15+)",BGD,2.45,,,0,South Asia
Bangladesh,2017,"Owns a debit or credit card, female (% age 15+)",BGD,3.7,,,0,South Asia
Bangladesh,2014,"Owns a debit or credit card, female (% age 15+)",BGD,2.41,,,0,South Asia
Bangladesh,2011,"Owns a debit or credit card, female (% age 15+)",BGD,0.86,,,0,South Asia
Bangladesh,2022,"Owns a debit or credit card, male (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2021,"Owns a debit or credit card, male (% age 15+)",BGD,7.61,,,0,South Asia
Bangladesh,2017,"Owns a debit or credit card, male (% age 15+)",BGD,8.75,,,0,South Asia
Bangladesh,2014,"Owns a debit or credit card, male (% age 15+)",BGD,7.83,,,0,South Asia
Bangladesh,2011,"Owns a debit or credit card, male (% age 15+)",BGD,4.06,,,0,South Asia
Bangladesh,2022,"Owns a debit or credit card, rural (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2021,"Owns a debit or credit card, rural (% age 15+)",BGD,3.96,,,0,South Asia
Bangladesh,2017,"Owns a debit or credit card, rural (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2014,"Owns a debit or credit card, rural (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2011,"Owns a debit or credit card, rural (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2022,"Owns a debit or credit card, urban (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2021,"Owns a debit or credit card, urban (% age 15+)",BGD,5.24,,,0,South Asia
Bangladesh,2017,"Owns a debit or credit card, urban (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2014,"Owns a debit or credit card, urban (% age 15+)",BGD,..,,,0,South Asia
Bangladesh,2011,"Owns a debit or credit card, urban (% age 15+)",BGD,..,,,0,South Asia
Bhutan,2022,Account (% age 15+),BTN,..,,,0,South Asia
